transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR01216,MM,3,104,0,3,Production,Pending,HIGH
TR01217,HR,4,97,1,2,Quality,Rejected,LOW
TR01218,MM,2,52,2,3,Quality,Approved,HIGH
TR01219,FI,5,59,0,3,Development,Pending,HIGH
TR01220,HR,6,48,0,1,Development,Rejected,LOW
TR01221,FI,6,87,1,0,Development,Approved,MEDIUM
TR01222,SD,2,39,1,0,Quality,Approved,LOW
TR01223,FI,2,51,1,3,Development,Approved,HIGH
TR01224,HR,4,105,0,3,Development,Approved,HIGH
TR01225,SD,4,114,2,3,Development,Rejected,HIGH
TR01226,SD,5,35,2,3,Quality,Approved,LOW
TR01227,HR,1,115,1,1,Production,Pending,MEDIUM
TR01228,HR,4,69,2,0,Production,Approved,HIGH
TR01229,HR,3,99,2,2,Quality,Rejected,HIGH
TR01230,MM,4,41,0,3,Quality,Pending,HIGH
TR01231,MM,6,82,0,3,Production,Approved,HIGH
TR01232,MM,3,90,2,2,Production,Approved,HIGH
TR01233,MM,4,62,2,0,Quality,Approved,HIGH
TR01234,SD,4,67,0,2,Development,Rejected,LOW
TR01235,FI,6,98,2,3,Quality,Pending,HIGH
TR01236,MM,4,14,0,2,Development,Rejected,MEDIUM
TR01237,SD,6,105,1,3,Quality,Approved,HIGH
TR01238,MM,6,66,0,3,Quality,Approved,HIGH
TR01239,FI,5,22,0,2,Development,Rejected,MEDIUM
TR01240,MM,1,95,0,2,Development,Pending,MEDIUM
TR01241,MM,6,14,2,1,Quality,Rejected,HIGH
TR01242,FI,4,98,1,3,Development,Rejected,MEDIUM
TR01243,MM,2,57,0,1,Development,Approved,LOW
TR01244,FI,3,115,0,0,Development,Approved,MEDIUM
TR01245,MM,6,31,0,3,Production,Approved,HIGH
TR01246,SD,5,90,0,1,Production,Pending,MEDIUM
TR01247,FI,2,37,0,2,Quality,Approved,HIGH
TR01248,SD,1,59,0,3,Development,Approved,HIGH
TR01249,SD,6,89,1,0,Development,Approved,MEDIUM
TR01250,HR,1,101,2,1,Quality,Approved,HIGH
TR01251,HR,6,108,2,1,Quality,Approved,HIGH
TR01252,SD,6,71,0,2,Development,Rejected,MEDIUM
TR01253,HR,4,75,2,1,Production,Rejected,HIGH
TR01254,FI,2,12,2,0,Quality,Approved,HIGH
TR01255,MM,5,20,0,1,Quality,Pending,LOW
TR01256,MM,4,36,2,0,Development,Rejected,HIGH
TR01257,HR,6,52,0,2,Quality,Rejected,MEDIUM
TR01258,FI,5,111,1,2,Development,Approved,MEDIUM
TR01259,SD,3,41,0,0,Production,Approved,LOW
TR01260,MM,5,58,2,2,Development,Pending,HIGH
TR01261,FI,4,18,0,0,Production,Approved,LOW
TR01262,MM,1,32,2,1,Development,Rejected,HIGH
TR01263,HR,3,31,2,1,Development,Pending,HIGH
TR01264,MM,3,46,2,3,Production,Approved,HIGH
TR01265,HR,1,56,1,3,Development,Pending,HIGH
TR01266,HR,2,114,1,0,Quality,Pending,MEDIUM
TR01267,SD,5,78,0,1,Quality,Pending,LOW
TR01268,HR,3,58,2,3,Development,Pending,HIGH
TR01269,HR,2,29,0,0,Development,Rejected,LOW
TR01270,SD,4,61,1,3,Production,Pending,HIGH
TR01271,SD,6,85,0,3,Development,Approved,HIGH
TR01272,MM,2,107,1,2,Production,Pending,MEDIUM
TR01273,HR,6,98,1,0,Production,Pending,MEDIUM
TR01274,MM,2,71,0,2,Production,Rejected,MEDIUM
TR01275,MM,3,87,1,1,Quality,Approved,MEDIUM
TR01276,MM,1,24,0,3,Quality,Rejected,HIGH
TR01277,FI,5,34,1,1,Quality,Pending,LOW
TR01278,HR,5,49,2,3,Production,Approved,HIGH
TR01279,SD,2,44,2,1,Production,Pending,HIGH
TR01280,FI,2,114,1,0,Development,Approved,MEDIUM
TR01281,HR,5,63,2,2,Production,Pending,HIGH
TR01282,SD,2,100,0,1,Quality,Approved,MEDIUM
TR01283,FI,4,82,0,1,Development,Approved,MEDIUM
TR01284,MM,3,62,1,0,Production,Approved,LOW
TR01285,HR,1,45,0,2,Development,Rejected,MEDIUM
TR01286,HR,6,107,0,0,Development,Pending,MEDIUM
TR01287,FI,6,84,0,0,Development,Rejected,MEDIUM
TR01288,HR,5,76,1,3,Quality,Pending,HIGH
TR01289,SD,3,97,1,2,Development,Pending,MEDIUM
TR01290,HR,5,17,1,2,Development,Approved,MEDIUM
TR01291,HR,6,116,0,0,Production,Approved,MEDIUM
TR01292,SD,6,106,0,2,Quality,Rejected,MEDIUM
TR01293,HR,5,62,2,1,Development,Rejected,HIGH
TR01294,SD,1,91,1,0,Production,Pending,MEDIUM
TR01295,MM,5,72,1,0,Quality,Pending,LOW
TR01296,HR,6,119,2,0,Production,Pending,HIGH
TR01297,MM,6,28,2,0,Development,Pending,HIGH
TR01298,SD,6,80,1,1,Quality,Approved,LOW
TR01299,MM,2,37,0,0,Development,Pending,LOW
TR01300,FI,2,51,1,2,Development,Rejected,MEDIUM
TR01301,HR,6,25,2,1,Production,Rejected,HIGH
TR01302,FI,6,52,0,0,Production,Pending,LOW
TR01303,HR,6,92,2,3,Development,Approved,HIGH
TR01304,SD,1,24,0,2,Production,Rejected,MEDIUM
TR01305,FI,5,57,0,2,Quality,Rejected,MEDIUM
TR01306,SD,1,85,2,1,Quality,Pending,HIGH
TR01307,SD,6,111,0,1,Development,Pending,MEDIUM
TR01308,SD,2,114,1,1,Quality,Rejected,MEDIUM
TR01309,SD,2,105,2,0,Production,Pending,HIGH
TR01310,FI,3,118,2,3,Production,Approved,HIGH
TR01311,HR,1,113,1,1,Production,Approved,MEDIUM
TR01312,MM,6,104,0,1,Quality,Rejected,MEDIUM
TR01313,MM,1,80,1,2,Quality,Rejected,MEDIUM
TR01314,SD,4,60,0,2,Quality,Rejected,MEDIUM
TR01315,HR,1,26,1,0,Production,Pending,LOW
TR01316,MM,5,27,1,3,Quality,Approved,HIGH
TR01317,MM,6,93,0,2,Production,Rejected,MEDIUM
TR01318,MM,4,64,2,1,Development,Approved,HIGH
TR01319,HR,2,16,0,2,Production,Pending,MEDIUM
TR01320,HR,2,14,0,1,Quality,Pending,LOW
TR01321,MM,6,105,1,0,Quality,Rejected,MEDIUM
TR01322,HR,3,11,0,0,Development,Approved,LOW
TR01323,MM,1,85,2,3,Quality,Rejected,HIGH
TR01324,MM,4,71,2,3,Quality,Rejected,HIGH
TR01325,SD,1,101,2,1,Quality,Rejected,HIGH
TR01326,HR,1,76,2,0,Development,Rejected,HIGH
TR01327,MM,5,98,0,0,Production,Pending,MEDIUM
TR01328,FI,1,26,2,1,Production,Approved,HIGH
TR01329,SD,1,20,0,2,Quality,Rejected,MEDIUM
TR01330,FI,2,48,0,2,Production,Rejected,MEDIUM
TR01331,HR,6,50,2,2,Production,Rejected,HIGH
TR01332,FI,6,114,0,1,Development,Approved,MEDIUM
TR01333,MM,2,87,2,1,Production,Pending,HIGH
TR01334,HR,1,80,1,2,Quality,Rejected,MEDIUM
TR01335,HR,4,20,1,3,Production,Approved,HIGH
TR01336,FI,6,103,1,1,Production,Pending,MEDIUM
TR01337,MM,4,115,0,2,Quality,Pending,HIGH
TR01338,MM,1,44,0,0,Production,Rejected,LOW
TR01339,SD,6,21,1,2,Quality,Approved,MEDIUM
TR01340,MM,3,11,0,3,Development,Pending,HIGH
TR01341,FI,2,77,2,2,Production,Pending,HIGH
TR01342,SD,6,83,1,2,Production,Approved,MEDIUM
TR01343,MM,3,106,1,1,Quality,Rejected,MEDIUM
TR01344,HR,4,85,0,2,Development,Rejected,MEDIUM
TR01345,MM,6,26,0,3,Production,Rejected,HIGH
TR01346,SD,6,109,0,3,Production,Pending,HIGH
TR01347,SD,4,74,1,2,Quality,Rejected,MEDIUM
TR01348,MM,3,91,0,2,Quality,Pending,MEDIUM
TR01349,FI,1,103,0,0,Development,Rejected,HIGH
TR01350,SD,5,73,0,3,Production,Rejected,HIGH
TR01351,MM,4,73,2,0,Quality,Approved,HIGH
TR01352,FI,6,64,2,2,Development,Rejected,HIGH
TR01353,FI,5,67,0,1,Development,Approved,MEDIUM
TR01354,MM,5,55,0,3,Quality,Pending,HIGH
TR01355,FI,3,96,0,0,Quality,Pending,MEDIUM
TR01356,SD,2,10,2,3,Development,Pending,HIGH
TR01357,FI,4,89,1,0,Quality,Approved,MEDIUM
TR01358,SD,3,55,0,0,Quality,Rejected,LOW
TR01359,SD,1,22,1,3,Development,Approved,HIGH
TR01360,MM,4,25,1,0,Development,Rejected,LOW
TR01361,HR,4,57,1,2,Quality,Approved,MEDIUM
TR01362,SD,1,66,2,3,Development,Approved,HIGH
TR01363,HR,1,55,2,1,Development,Approved,HIGH
TR01364,MM,4,63,2,2,Development,Approved,HIGH
TR01365,HR,6,44,0,3,Quality,Rejected,HIGH
TR01366,MM,3,106,1,3,Development,Approved,HIGH
TR01367,FI,2,29,1,0,Production,Approved,MEDIUM
TR01368,HR,5,104,0,3,Quality,Pending,HIGH
TR01369,FI,4,41,2,1,Production,Rejected,HIGH
TR01370,SD,1,120,1,1,Production,Pending,MEDIUM
TR01371,FI,6,103,2,1,Development,Rejected,HIGH
TR01372,MM,2,25,0,3,Development,Pending,HIGH
TR01373,MM,4,12,2,1,Development,Approved,HIGH
TR01374,SD,6,91,0,1,Quality,Pending,MEDIUM
TR01375,HR,6,16,1,0,Quality,Pending,LOW
TR01376,SD,6,63,0,2,Development,Approved,LOW
TR01377,SD,2,46,1,2,Production,Approved,MEDIUM
TR01378,SD,4,56,1,2,Development,Approved,MEDIUM
TR01379,MM,3,56,2,2,Production,Rejected,HIGH
TR01380,SD,2,93,1,1,Production,Pending,MEDIUM
TR01381,FI,2,90,2,0,Development,Rejected,HIGH
TR01382,MM,2,100,1,0,Development,Rejected,MEDIUM
TR01383,SD,6,70,0,1,Development,Approved,LOW
TR01384,SD,5,54,1,3,Production,Rejected,HIGH
TR01385,HR,1,71,1,0,Development,Rejected,LOW
TR01386,MM,3,15,2,0,Production,Approved,HIGH
TR01387,HR,4,97,2,0,Development,Pending,HIGH
TR01388,HR,5,109,1,3,Production,Pending,HIGH
TR01389,FI,2,83,0,0,Production,Pending,MEDIUM
TR01390,SD,3,119,0,2,Production,Pending,MEDIUM
TR01391,MM,2,15,2,1,Quality,Approved,HIGH
TR01392,SD,2,44,0,1,Development,Rejected,LOW
TR01393,SD,6,87,1,2,Development,Rejected,MEDIUM
TR01394,SD,6,27,1,2,Quality,Approved,MEDIUM
TR01395,FI,3,38,2,2,Development,Pending,HIGH
TR01396,FI,6,105,2,3,Production,Pending,HIGH
TR01397,MM,4,38,1,2,Development,Rejected,MEDIUM
TR01398,HR,2,67,0,3,Quality,Approved,HIGH
TR01399,FI,4,33,1,1,Development,Approved,LOW
TR01400,MM,6,46,0,2,Development,Approved,MEDIUM
TR01401,MM,1,28,0,3,Development,Pending,HIGH
TR01402,HR,1,102,2,1,Production,Approved,HIGH
TR01403,HR,4,12,0,0,Production,Approved,LOW
TR01404,FI,3,28,2,0,Development,Approved,HIGH
TR01405,SD,6,20,0,1,Quality,Rejected,LOW
TR01406,MM,3,52,1,1,Development,Approved,LOW
TR01407,SD,6,79,0,0,Development,Approved,LOW
TR01408,FI,5,117,1,1,Development,Approved,MEDIUM
TR01409,HR,2,55,2,2,Development,Rejected,HIGH
TR01410,FI,4,31,0,1,Development,Pending,LOW
TR01411,SD,1,56,0,0,Production,Approved,LOW
TR01412,SD,5,33,2,3,Development,Rejected,HIGH
TR01413,SD,3,23,1,3,Production,Pending,HIGH
TR01414,FI,1,120,0,1,Quality,Approved,MEDIUM
TR01415,HR,1,24,2,3,Production,Pending,HIGH
TR01416,SD,2,33,1,2,Quality,Pending,MEDIUM
TR01417,HR,5,111,2,2,Development,Rejected,HIGH
TR01418,HR,4,80,1,3,Production,Rejected,HIGH
TR01419,HR,1,84,2,3,Production,Rejected,HIGH
TR01420,MM,6,21,0,2,Development,Approved,MEDIUM
TR01421,FI,3,81,1,1,Development,Approved,MEDIUM
TR01422,SD,2,47,1,1,Production,Pending,LOW
TR01423,MM,1,105,0,0,Production,Rejected,MEDIUM
TR01424,FI,6,64,1,0,Production,Approved,MEDIUM
TR01425,FI,4,117,2,1,Development,Approved,HIGH
TR01426,FI,2,19,0,3,Development,Approved,HIGH
TR01427,MM,6,77,2,2,Quality,Pending,HIGH
TR01428,HR,6,98,0,2,Development,Approved,HIGH
TR01429,FI,5,106,0,1,Development,Pending,MEDIUM
TR01430,HR,5,101,1,2,Production,Approved,MEDIUM
TR01431,MM,3,21,2,3,Development,Rejected,HIGH
TR01432,FI,2,60,0,0,Production,Pending,LOW
TR01433,HR,4,31,0,2,Production,Pending,MEDIUM
TR01434,FI,1,19,1,2,Development,Approved,MEDIUM
TR01435,FI,1,37,2,0,Quality,Approved,HIGH
TR01436,FI,2,44,0,0,Production,Pending,MEDIUM
TR01437,FI,3,11,1,2,Quality,Rejected,MEDIUM
TR01438,HR,6,55,0,0,Quality,Pending,LOW
TR01439,FI,5,113,0,0,Production,Pending,MEDIUM
TR01440,FI,3,30,0,3,Development,Rejected,HIGH
TR01441,MM,2,113,2,1,Production,Approved,HIGH
TR01442,SD,4,110,0,2,Quality,Pending,MEDIUM
TR01443,HR,1,101,2,3,Development,Approved,HIGH
TR01444,FI,2,82,2,3,Development,Approved,HIGH
TR01445,SD,5,112,0,3,Development,Pending,HIGH
TR01446,SD,2,18,1,2,Quality,Approved,HIGH
TR01447,HR,3,70,1,3,Production,Approved,HIGH
TR01448,HR,1,56,1,3,Quality,Rejected,HIGH
TR01449,MM,4,56,2,2,Quality,Approved,HIGH
TR01450,HR,3,97,0,0,Production,Approved,MEDIUM
TR01451,FI,2,119,0,2,Quality,Approved,MEDIUM
TR01452,FI,2,59,1,0,Quality,Pending,LOW
TR01453,HR,1,20,0,0,Quality,Pending,LOW
TR01454,SD,1,50,1,3,Development,Rejected,HIGH
TR01455,FI,3,68,0,1,Quality,Approved,MEDIUM
TR01456,SD,5,14,2,3,Development,Pending,HIGH
TR01457,HR,2,16,0,0,Production,Pending,LOW
TR01458,MM,1,28,0,2,Quality,Approved,MEDIUM
TR01459,HR,4,77,0,2,Development,Approved,MEDIUM
TR01460,HR,3,106,1,1,Development,Pending,MEDIUM
TR01461,HR,4,78,2,1,Production,Pending,HIGH
TR01462,HR,1,81,2,1,Development,Rejected,HIGH
TR01463,MM,3,95,2,2,Development,Approved,HIGH
TR01464,MM,4,120,1,0,Production,Pending,MEDIUM
TR01465,FI,4,116,0,3,Production,Rejected,HIGH
TR01466,MM,6,34,1,1,Production,Pending,LOW
TR01467,MM,2,96,2,0,Quality,Pending,MEDIUM
TR01468,FI,6,73,2,3,Quality,Pending,HIGH
TR01469,HR,5,107,1,0,Development,Pending,MEDIUM
TR01470,MM,5,86,0,3,Quality,Pending,HIGH
TR01471,HR,6,46,2,0,Development,Approved,HIGH
TR01472,FI,5,62,0,3,Production,Rejected,HIGH
TR01473,FI,6,66,2,0,Production,Pending,HIGH
TR01474,MM,2,109,1,3,Development,Approved,HIGH
TR01475,FI,3,111,1,3,Production,Rejected,HIGH
TR01476,HR,1,57,0,2,Quality,Rejected,MEDIUM
TR01477,HR,6,40,0,3,Development,Approved,MEDIUM
TR01478,SD,3,31,2,3,Development,Rejected,HIGH
TR01479,MM,5,92,1,0,Production,Pending,MEDIUM
TR01480,HR,6,32,1,2,Production,Approved,MEDIUM
TR01481,FI,6,112,0,0,Production,Rejected,MEDIUM
TR01482,SD,5,30,1,1,Development,Approved,LOW
TR01483,MM,1,89,2,0,Production,Pending,HIGH
TR01484,MM,4,91,2,2,Development,Approved,HIGH
TR01485,MM,3,34,2,1,Production,Pending,HIGH
TR01486,FI,3,20,0,0,Production,Rejected,LOW
TR01487,FI,4,86,0,0,Development,Pending,MEDIUM
TR01488,MM,1,19,1,2,Development,Pending,MEDIUM
TR01489,FI,4,19,1,0,Development,Rejected,LOW
TR01490,SD,6,67,0,1,Quality,Approved,LOW
TR01491,FI,1,53,1,3,Production,Rejected,HIGH
TR01492,MM,5,104,1,0,Development,Rejected,LOW
TR01493,MM,2,120,1,0,Development,Approved,MEDIUM
TR01494,MM,1,103,2,1,Quality,Pending,HIGH
TR01495,FI,3,100,2,2,Quality,Rejected,HIGH
TR01496,HR,5,61,0,2,Development,Approved,MEDIUM
TR01497,SD,4,23,2,2,Development,Approved,HIGH
TR01498,HR,4,67,1,2,Quality,Rejected,MEDIUM
TR01499,HR,4,35,2,2,Quality,Rejected,HIGH
TR01500,HR,2,14,2,2,Production,Pending,HIGH
TR01501,SD,4,13,0,1,Quality,Pending,LOW
TR01502,SD,2,19,0,2,Quality,Approved,MEDIUM
TR01503,FI,1,50,2,0,Production,Pending,HIGH
TR01504,SD,2,81,0,3,Quality,Rejected,HIGH
TR01505,MM,1,81,1,0,Production,Rejected,MEDIUM
TR01506,HR,3,114,1,1,Development,Approved,MEDIUM
TR01507,HR,1,45,1,0,Development,Pending,LOW
TR01508,SD,5,59,0,0,Quality,Approved,LOW
TR01509,FI,4,46,0,3,Development,Rejected,HIGH
TR01510,FI,3,92,0,0,Quality,Approved,MEDIUM
TR01511,HR,6,48,1,2,Quality,Pending,MEDIUM
TR01512,HR,5,16,1,2,Production,Pending,MEDIUM
TR01513,FI,3,89,0,0,Development,Approved,MEDIUM
TR01514,MM,1,51,2,3,Development,Approved,HIGH
TR01515,SD,5,10,2,0,Quality,Approved,HIGH
TR01516,SD,1,43,1,3,Quality,Rejected,HIGH
TR01517,MM,5,68,0,1,Quality,Approved,LOW
TR01518,HR,6,67,2,0,Production,Rejected,HIGH
TR01519,HR,6,72,1,2,Production,Pending,MEDIUM
TR01520,SD,3,101,0,2,Production,Approved,MEDIUM
TR01521,MM,6,19,0,3,Development,Approved,LOW
TR01522,HR,4,34,1,0,Quality,Approved,LOW
TR01523,SD,3,100,1,1,Production,Approved,MEDIUM
TR01524,MM,3,59,1,1,Quality,Approved,MEDIUM
TR01525,MM,6,49,2,0,Development,Pending,HIGH
TR01526,FI,2,12,1,1,Quality,Approved,LOW
TR01527,HR,3,43,0,0,Quality,Pending,LOW
TR01528,HR,5,65,2,2,Development,Pending,HIGH
TR01529,FI,1,93,1,3,Development,Pending,HIGH
TR01530,MM,5,45,2,3,Production,Pending,HIGH
TR01531,FI,6,41,0,1,Development,Approved,LOW
TR01532,SD,2,18,2,0,Quality,Approved,HIGH
TR01533,HR,4,60,0,1,Production,Rejected,LOW
TR01534,MM,2,110,0,2,Production,Pending,MEDIUM
TR01535,SD,6,10,0,1,Production,Rejected,LOW
TR01536,SD,6,40,0,2,Production,Approved,MEDIUM
TR01537,SD,4,28,0,3,Quality,Pending,MEDIUM
TR01538,FI,2,96,0,2,Quality,Rejected,LOW
TR01539,HR,1,15,0,2,Development,Rejected,MEDIUM
TR01540,MM,1,22,1,2,Quality,Pending,MEDIUM
TR01541,SD,6,72,1,2,Quality,Approved,MEDIUM
TR01542,SD,6,52,2,3,Development,Pending,HIGH
TR01543,FI,2,62,0,1,Quality,Pending,HIGH
TR01544,HR,3,36,2,0,Development,Pending,HIGH
TR01545,SD,6,96,2,3,Production,Approved,HIGH
TR01546,SD,3,60,2,3,Quality,Pending,HIGH
TR01547,SD,5,25,1,3,Production,Pending,HIGH
TR01548,FI,4,97,0,3,Production,Approved,HIGH
TR01549,SD,5,81,2,1,Quality,Pending,HIGH
TR01550,SD,1,68,0,1,Quality,Rejected,LOW
TR01551,HR,3,10,1,2,Production,Approved,LOW
TR01552,SD,3,110,2,1,Development,Rejected,HIGH
TR01553,MM,4,84,0,2,Development,Approved,MEDIUM
TR01554,SD,2,113,2,3,Quality,Pending,HIGH
TR01555,FI,3,48,2,2,Development,Rejected,HIGH
TR01556,SD,5,27,2,1,Quality,Approved,HIGH
TR01557,MM,3,49,0,2,Production,Rejected,MEDIUM
TR01558,MM,4,110,1,0,Development,Rejected,MEDIUM
TR01559,SD,5,97,2,2,Quality,Pending,HIGH
TR01560,HR,4,69,0,0,Quality,Approved,LOW
TR01561,SD,2,84,2,2,Development,Rejected,HIGH
TR01562,SD,1,106,1,1,Quality,Rejected,HIGH
TR01563,HR,1,20,0,2,Production,Approved,MEDIUM
TR01564,FI,3,82,1,2,Development,Approved,MEDIUM
TR01565,FI,6,36,2,1,Production,Rejected,HIGH
TR01566,MM,2,96,2,1,Quality,Rejected,HIGH
TR01567,FI,4,89,2,1,Development,Approved,HIGH
TR01568,FI,5,22,0,1,Development,Pending,HIGH
TR01569,HR,4,17,0,2,Quality,Pending,MEDIUM
TR01570,MM,5,43,2,3,Production,Rejected,HIGH
TR01571,MM,6,12,0,1,Production,Rejected,LOW
TR01572,MM,4,71,1,2,Production,Approved,MEDIUM
TR01573,HR,3,95,1,3,Quality,Rejected,HIGH
TR01574,HR,4,114,1,1,Development,Pending,MEDIUM
TR01575,HR,1,84,1,0,Production,Rejected,MEDIUM
TR01576,HR,1,55,0,3,Production,Pending,HIGH
TR01577,MM,3,74,2,1,Quality,Rejected,HIGH
TR01578,FI,2,93,0,2,Production,Rejected,MEDIUM
TR01579,HR,6,119,0,2,Production,Pending,MEDIUM
TR01580,FI,6,71,1,3,Production,Rejected,HIGH
TR01581,SD,2,99,1,2,Production,Rejected,MEDIUM
TR01582,FI,1,13,2,1,Development,Approved,HIGH
TR01583,HR,6,70,1,1,Production,Approved,LOW
TR01584,MM,6,59,1,0,Development,Rejected,LOW
TR01585,FI,6,19,1,2,Production,Rejected,MEDIUM
TR01586,MM,3,23,2,3,Quality,Approved,HIGH
TR01587,MM,2,42,1,3,Production,Pending,HIGH
TR01588,MM,4,114,2,1,Development,Rejected,HIGH
TR01589,FI,2,14,0,0,Quality,Pending,LOW
TR01590,FI,3,33,2,3,Development,Approved,HIGH
TR01591,HR,5,55,1,1,Development,Pending,LOW
TR01592,HR,1,82,0,1,Production,Pending,MEDIUM
TR01593,HR,2,16,2,2,Development,Approved,HIGH
TR01594,SD,3,59,2,2,Development,Approved,HIGH
TR01595,FI,5,83,0,2,Quality,Rejected,HIGH
TR01596,FI,5,70,1,0,Development,Pending,MEDIUM
TR01597,MM,3,107,0,1,Development,Rejected,MEDIUM
TR01598,SD,6,17,0,3,Development,Rejected,HIGH
TR01599,FI,3,19,1,0,Production,Pending,LOW
TR01600,SD,6,15,0,0,Quality,Rejected,LOW
TR01601,SD,4,71,1,1,Development,Approved,LOW
TR01602,HR,6,97,2,0,Production,Pending,MEDIUM
TR01603,MM,4,99,1,1,Development,Pending,MEDIUM
TR01604,SD,3,34,1,3,Development,Approved,HIGH
TR01605,FI,2,62,2,0,Development,Rejected,HIGH
TR01606,FI,1,17,0,3,Development,Pending,MEDIUM
TR01607,MM,3,26,2,3,Quality,Rejected,HIGH
TR01608,FI,1,42,2,1,Quality,Rejected,HIGH
TR01609,SD,2,66,2,2,Quality,Rejected,HIGH
TR01610,MM,5,44,1,0,Development,Pending,LOW
TR01611,HR,3,20,0,1,Production,Approved,LOW
TR01612,MM,1,57,2,1,Development,Approved,HIGH
TR01613,HR,1,12,1,0,Quality,Pending,LOW
TR01614,SD,1,17,1,3,Quality,Approved,HIGH
TR01615,HR,4,15,0,1,Quality,Approved,LOW
TR01616,FI,6,49,0,2,Development,Rejected,MEDIUM
TR01617,SD,3,113,2,1,Development,Pending,HIGH
TR01618,HR,4,110,2,0,Development,Rejected,HIGH
TR01619,SD,5,69,1,2,Development,Pending,MEDIUM
TR01620,MM,2,11,1,2,Development,Approved,MEDIUM
TR01621,SD,3,83,1,0,Production,Pending,MEDIUM
TR01622,SD,6,113,2,0,Development,Pending,HIGH
TR01623,SD,3,118,0,3,Quality,Approved,HIGH
TR01624,HR,1,55,1,1,Quality,Approved,LOW
TR01625,FI,3,88,2,2,Development,Pending,HIGH
TR01626,SD,3,73,0,1,Production,Approved,LOW
TR01627,FI,2,24,2,0,Development,Rejected,HIGH
TR01628,HR,5,50,0,1,Development,Rejected,LOW
TR01629,SD,1,96,1,0,Production,Approved,MEDIUM
TR01630,FI,5,66,0,0,Development,Approved,MEDIUM
TR01631,SD,6,63,0,3,Quality,Approved,HIGH
TR01632,SD,3,62,2,2,Quality,Pending,HIGH
TR01633,MM,3,15,1,1,Production,Approved,LOW
TR01634,MM,3,75,2,2,Development,Pending,HIGH
TR01635,FI,6,102,0,3,Production,Approved,HIGH
TR01636,MM,5,74,2,3,Production,Rejected,HIGH
TR01637,FI,5,70,2,3,Quality,Pending,HIGH
TR01638,SD,2,52,0,2,Development,Pending,MEDIUM
TR01639,FI,6,40,1,3,Quality,Approved,HIGH
TR01640,FI,3,93,1,1,Quality,Pending,MEDIUM
TR01641,MM,5,41,1,1,Production,Pending,LOW
TR01642,SD,3,25,0,3,Quality,Rejected,HIGH
TR01643,HR,6,108,0,1,Quality,Approved,MEDIUM
TR01644,HR,3,107,2,3,Production,Approved,HIGH
TR01645,FI,4,13,2,1,Development,Approved,HIGH
TR01646,HR,4,55,0,3,Production,Rejected,HIGH
TR01647,SD,1,53,1,0,Production,Approved,MEDIUM
TR01648,HR,4,90,1,3,Quality,Pending,HIGH
TR01649,MM,6,108,2,0,Development,Approved,HIGH
TR01650,SD,6,93,1,3,Quality,Pending,HIGH
TR01651,SD,1,39,1,3,Quality,Approved,HIGH
TR01652,HR,3,51,1,2,Development,Approved,HIGH
TR01653,MM,4,76,1,2,Development,Pending,MEDIUM
TR01654,FI,3,45,1,3,Development,Approved,HIGH
TR01655,SD,5,106,0,1,Production,Pending,MEDIUM
TR01656,MM,5,117,2,1,Development,Rejected,HIGH
TR01657,MM,1,72,0,2,Development,Pending,MEDIUM
TR01658,HR,6,66,2,1,Quality,Pending,HIGH
TR01659,FI,4,65,1,2,Development,Approved,MEDIUM
TR01660,FI,3,112,0,1,Production,Approved,MEDIUM
TR01661,SD,3,68,2,0,Production,Rejected,HIGH
TR01662,FI,4,22,2,2,Development,Rejected,HIGH
TR01663,FI,6,90,0,1,Development,Rejected,MEDIUM
TR01664,MM,6,35,1,3,Development,Pending,HIGH
TR01665,HR,3,26,0,0,Production,Rejected,LOW
TR01666,FI,4,18,1,1,Production,Approved,HIGH
TR01667,SD,5,58,2,1,Production,Pending,HIGH
TR01668,MM,3,117,0,2,Production,Pending,MEDIUM
TR01669,HR,5,55,2,3,Quality,Approved,HIGH
TR01670,SD,4,67,1,1,Production,Pending,LOW
TR01671,HR,3,94,0,2,Production,Pending,MEDIUM
TR01672,HR,4,86,1,1,Development,Pending,MEDIUM
TR01673,MM,4,17,2,2,Quality,Rejected,HIGH
TR01674,HR,4,64,1,2,Development,Pending,MEDIUM
TR01675,MM,3,91,0,2,Quality,Pending,MEDIUM
TR01676,MM,5,36,2,0,Production,Rejected,HIGH
TR01677,FI,6,12,1,0,Production,Pending,LOW
TR01678,FI,6,16,2,1,Quality,Rejected,HIGH
TR01679,MM,5,60,2,1,Quality,Approved,HIGH
TR01680,SD,4,37,2,1,Development,Approved,HIGH
TR01681,FI,5,60,1,0,Development,Pending,LOW
TR01682,MM,6,108,2,1,Development,Pending,HIGH
TR01683,HR,6,61,0,2,Development,Approved,HIGH
TR01684,HR,1,11,2,1,Development,Rejected,HIGH
TR01685,HR,2,116,2,2,Quality,Pending,HIGH
TR01686,FI,3,45,1,1,Development,Pending,LOW
TR01687,HR,4,47,1,0,Development,Pending,LOW
TR01688,HR,3,99,2,1,Quality,Approved,HIGH
TR01689,HR,3,107,2,0,Quality,Approved,HIGH
TR01690,FI,4,108,0,3,Quality,Pending,HIGH
TR01691,SD,3,28,2,0,Development,Rejected,HIGH
TR01692,HR,5,41,0,1,Quality,Rejected,LOW
TR01693,MM,1,108,1,2,Quality,Pending,MEDIUM
TR01694,MM,1,51,2,3,Development,Pending,HIGH
